id,relation,comment,domain,text
28,"Message-Topic(e1,e2)",Comment:,Art,"This <e1>article</e1> gives details on 2004 in <e2>music</e2> in the United Kingdom, including the official charts from that year."
29,"Message-Topic(e1,e2)",Comment:,Story,We have therefore taken the initiative to convene the first international open <e1>meeting</e1> dedicated solely to <e2>rural history</e2>.
30,"Component-Whole(e1,e2)","Comment: ""by turn off"" should be ""by turning off"", error is in the source text.",Technology,"The <e1>timer</e1> of the <e2>device</e2> automatically eliminates wasted standby power"" consumption by automatically turn off electronics plugged into the ""auto off"" outlets."""
31,"Message-Topic(e2,e1)",Comment:,Story,Bob Parks made a similar <e1>offer</e1> in a <e2>phone call</e2> made earlier this week.
32,"Cause-Effect(e2,e1)",Comment:,Story,He had chest pains and <e1>headaches</e1> from <e2>mold</e2> in the bedrooms.
33,"Product-Producer(e1,e2)",Comment: in an abstract way the country is built/founded/produced by the father,Politics,The silver-haired author was not just laying India's politician saint to rest but healing a generations-old rift in the family of the <e1>country</e1>'s founding <e2>father</e2>.
34,"Entity-Destination(e1,e2)",Comment: the carton holds the containers,Education,It describes a method for loading a horizontal <e1>stack</e1> of containers into a <e2>carton</e2>.
35,"Component-Whole(e1,e2)",Comment:,Technology,The Foundation decided to repurpose the building in order to reduce wear and tear on the <e1>plumbing</e1> in the <e2>manor house</e2> by redirecting visitors during restoration projects and beyond.
36,"Entity-Origin(e1,e2)",Comment:,Technology,The technology is available to produce and transmit <e1>electricity</e1> economically from OTEC <e2>systems</e2>.
37,Other,Comment: violates c.3,Politics,The Medicare buy-in <e1>plan</e1> ran into Senate <e2>resistance</e2>.
38,"Component-Whole(e2,e1)",Comment:,News,"The <e1>provinces</e1> are divided into <e2>counties</e2> (shahrestan), and subdivided into districts (bakhsh) and sub-districts (dehestan)."
39,"Cause-Effect(e1,e2)",Comment:,News,Financial <e1>stress</e1> is one of the main causes of <e2>divorce</e2>.
40,"Instrument-Agency(e2,e1)",Comment:,Technology,<e1>Newspapers</e1> swap content via widgets with the help of the newsgator <e2>service</e2>.
41,"Cause-Effect(e1,e2)",Comment:,Technology,The <e1>women</e1> that caused the <e2>accident</e2> was on the cell phone and ran thru the intersection without pausing on the median.
42,"Content-Container(e1,e2)",Comment: prototypical example,Technology,The <e1>transmitter</e1> was discovered inside a bed settee <e2>suite</e2> on which he had been sitting.
43,"Member-Collection(e2,e1)",Comment:,Education,The Kerala backwaters are a <e1>chain</e1> of brackish <e2>lagoons</e2> and lakes lying parallel to the Arabian Sea coast of Kerala state in southern India.
44,"Entity-Origin(e1,e2)",Comment:,News,"A St. Paul College <e1>student</e1> was released from <e2>jail</e2> Wednesday night, after his arrest Tuesday in the alleged rape of another student on campus."
45,"Cause-Effect(e2,e1)",Comment:,Biology,<e1>Calluses</e1> are caused by improperly fitting shoes or by a <e2>skin abnormality</e2>.
46,"Instrument-Agency(e2,e1)",Comment:,News,<e1>Adults</e1> use <e2>drugs</e2> for this purpose.
47,"Instrument-Agency(e2,e1)",Comment:,Politics,The <e1>councilor</e1> proposed assessing infinitival complements through <e2>elicitation</e2>.
48,"Cause-Effect(e2,e1)",Comment:,Story,"As in the popular movie Deep Impact"", the action of the Perseid <e1>meteor shower</e1> is caused by a <e2>comet</e2>, in this case periodic comet Swift-Tuttle."""
49,Other,Comment: We do not know what the notes are talking about; we only know that the notes are somehow connected to the statement.,Story,The following information appeared in the <e1>notes</e1> to consolidated financial <e2>statements</e2> of some corporate annual reports.
50,Other,Comment:,Art,HipHop appropriates the symbols of a consumer society: oversized <e1>diamond</e1> <e2>colliers</e2> are worn.
51,"Cause-Effect(e2,e1)",Comment:,News,The <e1>radiation</e1> from the atomic <e2>bomb explosion</e2> is a typical acute radiation.
52,"Component-Whole(e2,e1)",Comment:,History,The ride-on <e1>boat</e1> <e2>tiller</e2> was developed by engineers Arnold S. Juliano and Dr. Eulito U. Bautista.
53,"Cause-Effect(e2,e1)",Comment:,Technology,A neoplastic <e1>recurrence</e1> arose from an extensive <e2>radiation</e2> induced ulceration.
54,"Cause-Effect(e2,e1)",Comment:,Story,He has a tattoo on his right arm and <e1>scars</e1> from <e2>stitches</e2> on his right elbow.
55,"Member-Collection(e2,e1)",Comment:,Story,"Whether your home includes a charm of finches, a sute of bloodhounds, or a <e1>knob</e1> of <e2>toads</e2>, I think it's important to keep the numbers within reason."
56,"Message-Topic(e1,e2)",Comment:,Story,"Furthermore, these INGO practitioners constructed a <e1>discourse</e1> around <e2>participation</e2> which distorted the real significance of participation."
57,Other,Comment:,Story,Kelvin bought a <e1>silver</e1> <e2>ring</e2> which he was so happy with and he keeps wearing it now even though its abit too big haha.
58,"Message-Topic(e1,e2)","Comment: A debate is a multi-way message. (Debatable, I know.)",Education,Scientists are in the midst of an ongoing <e1>debate</e1> about the relative <e2>value</e2> of openness and collaboration in their profession.
59,"Content-Container(e1,e2)",Comment: prototypical example,Art,This cut blue and white striped cotton <e1>dress</e1> with red bands on the bodice was in a <e2>trunk</e2> of vintage Barbie clothing.
60,Other,Comment:,Politics,My major <e1>disagreement</e1> with Lyons concerns the <e2>causal part</e2> of his theory.
61,"Entity-Destination(e1,e2)",Comment:,Story,Both his <e1>feet</e1> have been moving into the <e2>ball</e2>.
62,"Content-Container(e1,e2)",Comment: prototypical example,Story,"The scissors were in a small plastic soap container, next to a bar of soap, and the <e1>box cutters</e1> were in a <e2>box</e2> next to a bottle of after-shave lotion."
63,"Member-Collection(e2,e1)",Comment:,Story,"A great <e1>wing</e1> of fluorite <e2>dragons</e2>, the greatest concentration of the rather solitary dragons ever known, joined the desperate battle with the blues and silvers against Chaos."
64,"Entity-Destination(e1,e2)",Comment:,Story,"As a control, <e1>cowpea</e1> was sealed in <e2>double bags</e2> without fumigant."
65,Other,Comment: diseases are not parts.,News,The infectious bacterial disease <e1>brucellosis</e1> has been found in a beef <e2>cow</e2> in eastern Idaho.
66,Other,"Comment: The pattern is at fault -- ""rout"" is not the name of a grouping; negation is outside",History,"As the Anglo-Norman force sustained but little loss in this battle, their archers at the onset showered a hail of arrows upon the Irish host who were not protected with mail armour, and shot them down in hundreds before they could get to close quarters; and then the charge of the heavy Anglo-Norman cavalry of mail-clad knights, completed the havoc and <e1>rout</e1> of the undisciplined Gaelic <e2>hosts</e2>."
67,"Entity-Origin(e1,e2)",Comment:,History,"The first incarnation of this series was set in the 1940s, during World War II, when the <e1>princess</e1> left her native paradise <e2>island</e2> (where Amazon women had lived for centuries) to help the U.S. foil the Nazis."
68,"Message-Topic(e1,e2)",Comment:,History,Cieply's <e1>story</e1> makes a compelling <e2>point</e2> about modern-day studio economics.
69,"Entity-Destination(e1,e2)",Comment:,Story,We poured the <e1>milk</e1> into the <e2>pumpkin mixture</e2>.
70,"Entity-Origin(e1,e2)",Comment:,News,Lawyers in Detroit also worked overtime as several <e1>lawsuits</e1> ensued from angry and injured <e2>fans</e2>.
71,"Cause-Effect(e2,e1)",Comment:,News,The continuing Nigerian <e1>outbreak</e1> is the biggest ever caused by the <e2>vaccine</e2>.
72,"Member-Collection(e2,e1)",Comment:,News,Our mercenary Army has now degenerated into a Godless <e1>cabal</e1> of mindless <e2>killers</e2> not unlike the Soviets that were butchering civilians in Afghanistan (exactly as sadistically as we have).
73,"Cause-Effect(e2,e1)",Comment:,News,The <e1>fire</e1> inside WTC was caused by exploding <e2>fuel</e2>.
74,"Entity-Destination(e1,e2)",Comment:,Biology,The <e1>epithelium</e1> from the knockout mouse bladder is migrating into the transplanted <e2>matrix</e2>.
75,"Entity-Origin(e1,e2)",Comment:,Story,The <e1>staff</e1> was removed from his <e2>position</e2>.
76,"Cause-Effect(e2,e1)",Comment:,News,The <e1>suffering</e1> caused by the <e2>terrorists</e2> is the real torture.
77,"Message-Topic(e2,e1)",Comment:,Art,This <e1>love</e1> of nature's gift has been reflected in <e2>artworks</e2> dating back more than a thousand years.
78,"Product-Producer(e2,e1)",Comment:,News,The <e1>court</e1> decided the objection by making the instalment <e2>order</e2> as sought.
79,"Cause-Effect(e2,e1)",Comment:,History,"In a poetic twist, the <e1>tsunami</e1> triggered by the rock <e2>band</e2> forced many American jazz and blues singers to seek work in the United Kingdom, which is where Anderson found a receptive audience in 1965."
80,"Cause-Effect(e2,e1)",Comment:,News,<e1>Leakage</e1> and fire caused due to <e2>corrosion</e2> of bypass piping for recirculation gas at a fuel oil desulphurization unit.
81,"Instrument-Agency(e2,e1)",Comment:,Education,A team of students from Virginia Tech University have created a vehicle that allows vision impaired <e1>drivers</e1> to take control of the <e2>wheel</e2>.
82,"Member-Collection(e2,e1)",Comment:,Technology,BMW's iDrive 4.0 brings in a <e1>horde</e1> of new <e2>features</e2>.
83,"Cause-Effect(e1,e2)",Comment:,Chemistry,The metal <e1>ball</e1> makes a ding ding ding <e2>noise</e2> when it swings back and hits the metal body of the lamp.
84,"Member-Collection(e2,e1)",Comment:,Art,It consists of an <e1>ensemble</e1> of <e2>ladies</e2> who are highly qualified to play various Arabic musical instruments.
85,"Product-Producer(e1,e2)",Comment: (a) is satisfied,Politics,It underscores the need for continued surveillance of nicotine delivery in <e1>products</e1> created by an unregulated <e2>industry</e2>.
86,Other,Comment:,Story,"Unlike other fish, grunion come out of the water completely to lay their eggs in the wet <e1>sand</e1> of the <e2>beach</e2>."
87,"Entity-Destination(e1,e2)",Comment:,Story,A large <e1>marble</e1> was dropped into the <e2>bowl</e2>.
88,"Cause-Effect(e2,e1)",Comment:,History,Historical view of the <e1>damage</e1> caused by the 1693 Catania <e2>earthquake</e2> and the reconstruction activities.
89,"Cause-Effect(e2,e1)",Comment:,Politics,"AI requested that the perpetrators be prosecuted to the fullest extent of the law, that adequate compensation be provided to the victims and that senior government and police officials offer apologies for the <e1>suffering</e1> caused by the responsible police <e2>officers</e2>."
90,Other,Comment: Location. It cannot be Content-Container since the Content should be removable. It also cannot be Component-Whole since it violates (d).,Education,The <e1>findings</e1> have been published in a special <e2>section</e2> of the academic journal Archives of Sexual Behavior.
91,"Entity-Origin(e1,e2)",Comment:,News,An Amtrak <e1>passenger</e1> who alarmed fellow passengers by talking about terrorist threats on a cellphone was pulled from the <e2>train</e2> and is being held in Colorado.
92,"Component-Whole(e1,e2)",Comment:,Education,The <e1>introduction</e1> in the <e2>book</e2> is a summary of what is in the text.
93,"Entity-Origin(e1,e2)",Comment:,Education,The second <e1>simulation</e1> was started from the uncomplexed x-ray <e2>structure</e2> after insertion of the ligand into the binding site.
94,"Instrument-Agency(e2,e1)",Comment:,Technology,This <e1>user</e1> plays games on a portable <e2>console</e2>.
95,"Entity-Origin(e1,e2)",Comment:,Politics,The ambitious Eurasia <e1>exhibition</e1> arose from an <e2>idea</e2> by Achille Bonito Oliva.
96,"Instrument-Agency(e2,e1)",Comment:,Story,The <e1>driver</e1> of the cement truck cleaned the loading chute on his truck with a truck-mounted water <e2>hose</e2> and began to pull away.
97,"Cause-Effect(e2,e1)",Comment:,Politics,The Marshall Plan also provided a way of gaining public acceptance in Europe for the New Deal format that the United States had successfully used before the war to end the <e1>recession</e1> triggered by the 1929 Wall Street <e2>crash</e2>.
98,"Member-Collection(e2,e1)",Comment:,Story,In the corner there are several gate captains and a <e1>legion</e1> of Wu <e2>crossbowmen</e2>.
99,"Cause-Effect(e2,e1)",Comment:,Biology,"Once they grow there, the <e1>swelling</e1> and inflammation caused by the <e2>infection</e2> closes off the sac, causing it not to shed"" bacteria, and protecting the bacteria inside from antibiotics and your body's own immune cells."""
100,"Cause-Effect(e2,e1)",Comment:,Art,"Guitars are played acoustically; the <e1>tone</e1> is produced by the <e2>vibration</e2> of the strings which is amplified by the body of the guitar, which acts as a large hollow resonating chamber, or they may rely on an amplifier that can electronically manipulate tone."
101,Other,Comment: score is not a product,Story,"Flowers are reborn from the soil and the climate begins to warm, all set to a <e1>score</e1> improvised by an <e2>orchestra</e2> of birds."
102,"Entity-Destination(e1,e2)",Comment:,Story,He posted the <e1>answers</e1> to the <e2>website</e2>.
103,"Cause-Effect(e2,e1)",Comment:,Story,"Arcane Subtlety reduced the threat caused by Polymorph by 40% at max rank, though the <e1>threat</e1> caused by the <e2>spell</e2> is minimal."
104,"Instrument-Agency(e2,e1)",Comment:,Technology,A <e1>programmer</e1> uses a high level <e2>language</e2> to implement its algorithms.
105,"Cause-Effect(e2,e1)",Comment:,Education,"The beautiful hydrothermal features in the park (geysers, hot springs, mud pots, etc.), the uplift and subsidence, and many of the <e1>earthquakes</e1> are caused by the <e2>movements</e2> of hydrothermal and/or magmatic fluids."
106,"Content-Container(e1,e2)",Comment: prototypical example,Education,"Flowers are nice, but don't last very long and the <e1>fruit</e1> in a fruit <e2>basket</e2> often goes bad."
107,"Component-Whole(e1,e2)",Comment:,Story,He decided to pad the <e1>heel</e1> of <e2>shoes</e2> with a shock absorbing insole or heel pad.
108,"Instrument-Agency(e2,e1)",Comment:,Art,"From the Scots (Lingle) and French (Ligneul, Lignoul), comes a <e1>shoemaker</e1>'s sewing <e2>thread</e2>, waxed and bristled (See Waxed End)."
109,"Entity-Destination(e1,e2)",Comment:,Story,One <e1>tablet</e1> per quart was dropped into a <e2>canteen</e2> and made the water safe to drink.
110,"Content-Container(e1,e2)",Comment: prototypical example,History,"The tiny <e1>image</e1> of the Renaissance master is hidden in a <e2>carafe</e2> of wine in his 1597 oil painting Bacchus, one of his most acclaimed works."
111,"Content-Container(e1,e2)",Comment: prototypical example,Story,"Then I swept up the dust, which looked like sawdust, and put it in a <e1>plastic container</e1>, which was in a <e2>cabinet</e2> under the granite counter top."
112,"Entity-Origin(e1,e2)",Comment:,Chemistry,In the former method the <e1>acetone</e1> was distilled from an allraline <e2>solution</e2> after the excess oxidant had been destroyed with sodium.
113,"Message-Topic(e1,e2)",Comment: We can assume that the roses are the topic of the guide.,News,"In this comprehensive <e1>guide</e1>, over 850 <e2>roses</e2> are described, illustrated, and arranged by group."
114,"Entity-Origin(e2,e1)",Comment:,History,<e1>Chestnut</e1> <e2>flour</e2> was more common than wheat flour in the Italian Alps a century ago.
115,"Product-Producer(e2,e1)","Comment: (a), (d) satisfied",Education,For us the term <e1>artists</e1>' <e2>book</e2> simply means a book made by an artist; a book made as a work of art rather than as a literary artifact.
116,Other,Comment:,FirstP,My parents bought her a <e1>silver</e1> <e2>necklace</e2> almost identical to the one pictured.
117,"Cause-Effect(e1,e2)",Comment:,Physic,Forward <e1>motion</e1> of the vehicle through the air caused a <e2>suction</e2> on the road draft tube.
118,Other,Comment: Webster says: babel: 2 often not capitalized a: a confusion of sounds or voices b: a scene of noise or confusion --- so not a set.,History,"Paul Friedrich guides us through a <e1>babel</e1> of <e2>words</e2>, and worlds of the imagination ranging from his translations from five languages(notably the Russian of his literary studies) to the poetry of the Indian Mexico of his anthropological field work to America writ large -- super highways, a Vermont farm, father and child."
119,"Component-Whole(e1,e2)",Comment:,Story,The picture below shows a view chapel and west range of the inner <e1>courtyard</e1> of the <e2>castle</e2>.
120,"Member-Collection(e2,e1)",Comment:,FirstP,I was attacked by a <e1>flock</e1> of <e2>pigeons</e2> today.
121,Other,"Comment: ""legal challenge"" is not a Message",News,That <e1>decision</e1> was also the subject of an unsuccessful <e2>legal challenge</e2>.
122,"Entity-Origin(e1,e2)",Comment:,Physic,The exit temperature of an effluent <e1>stream</e1> from the low temperature steam reforming <e2>reactor</e2> is not higher than 600 C.
123,"Entity-Destination(e1,e2)",Comment:,News,Individual <e1>investors</e1> moved into the <e2>property</e2>.
124,"Message-Topic(e1,e2)",Comment: questions are Messages; (b) is satisfied,News,One of the trickiest <e1>questions</e1> to answer in an interview relates to <e2>salary</e2>.
125,"Message-Topic(e2,e1)",Comment:,History,This <e1>tradition</e1> has been narrated in prophet's early <e2>biographies</e2>.
126,"Instrument-Agency(e2,e1)",Comment:,News,A <e1>thief</e1> who tried to steal the truck broke the igenition with <e2>screwdriver</e2>.
127,"Member-Collection(e2,e1)",Comment:,History,"After the Marian reforms the Legion was notionally a <e1>unit</e1> of heavy <e2>infantrymen</e2> armed with just sword and pilum, but even so it was normally fielded with attached auxiliary skirmishers and missile troops, and incorporated a small cavalry unit."
128,"Entity-Destination(e1,e2)",Comment:,News,The prosecutors carried <e1>guns</e1> into the <e2>court room</e2>.
129,"Cause-Effect(e1,e2)",Comment:,News,"The <e1>malfunctions</e1> on Monday caused <e2>delays</e2> for patrons waiting to check out or renew books at the branches, and impeded access to personal accounts that allow users to renew or hold books online."
130,"Entity-Destination(e1,e2)",Comment:,News,<e1>Chemical weapons</e1> have been dropped into the <e2>lake</e2>.
131,"Entity-Origin(e1,e2)",Comment:,Story,Many other <e1>dwarves</e1> also hailed from this infamous <e2>clan</e2>.
132,"Component-Whole(e1,e2)",Comment:,Story,The <e1>nose</e1> of a <e2>bloodhound</e2> is so good that evidence found by a bloodhound will hold up in matters involving the United States Supreme Court.
133,"Product-Producer(e2,e1)","Comment: (a) is satisfied, model is a creative work",Art,Global digital music sales grow as the music <e1>industry</e1> develops new business <e2>models</e2>.
134,"Product-Producer(e1,e2)",Comment: (a) is satisfied,Technology,"The <e1>devices</e1> were manufactured at the <e2>factory</e2> in Beaverton well into the 1980s, when production was shifted elsewhere and portions of the factory sold."
135,"Member-Collection(e2,e1)",Comment: A muster is a gathering.,Politics,"An expensive uniform and a strict ballot rendered it somewhat too exclusive in its character, but in the end it answered its purpose by becoming practically a <e1>muster</e1> of the National <e2>leaders</e2> of the present and the future."
136,Other,Comment:,FirstP,The <e1>train ride</e1> from <e2>station</e2> to station is approximate 30 minutes.
137,"Entity-Origin(e1,e2)",Comment:,History,The archaeological site yields <e1>relics</e1> from long-forgotten <e2>culture</e2>.
138,Other,"Comment:This definitely is not a set: it is a pattern, an arrangement.",Politics,A <e1>maze</e1> of interlocking <e2>jurisdictions</e2> and levels of government confronts average citizens in trying to solve even the simplest of problems.
139,"Cause-Effect(e1,e2)",Comment:,Biology,"Water <e1>damage</e1> from roof leaks, plumbing leaks or flooding lead to the <e2>growth</e2> of molds."
140,Other,"Comment: Like infestation, it is not a set.",Story,"Warm weather is here, and with it comes the <e1>scourge</e1> of <e2>mosquitoes</e2>."
141,Other,Comment: A process.,Biology,"The <e1>formation</e1> of struvite <e2>stones</e2> is associated with the presence of urea-splitting bacteria, most commonly Proteus mirabilis (but also Klebsiella, Serratia, Providencia species)."
142,Other,Comment: Effort is not a concrete object.,History,"Our army was successfully engaged during the day with strong rearguards of all arms on the Petit Morin River, thereby materially assisting the progress of the French armies on our right and left, against whom the <e1>enemy</e1> was making his greatest <e2>efforts</e2>."
143,"Member-Collection(e2,e1)",Comment:,History,"So when William did cross the Boyne on July 1st 1690, he had an army consisting of the <e1>riffraff</e1> of Europe's <e2>mercenaries</e2>."
144,"Entity-Origin(e1,e2)",Comment:,Biology,The overall <e1>geometry</e1> of the heart was extracted from the intensity <e2>data</e2>.
145,"Cause-Effect(e2,e1)",Comment:,Biology,The <e1>discomfort</e1> from the <e2>injury</e2> was now precluding him from his occupation which involved prolonged procedures in the standing position.
146,"Member-Collection(e2,e1)",Comment:,Chemistry,"Flames of purple, pink, yellow and blue dance in the air as a <e1>coven</e1> of <e2>sorcerers</e2> call forth energies from within the Empyrean."
147,"Member-Collection(e2,e1)",Comment:,Story,"Out of the early morning haze, a <e1>convoy</e1> of articulated <e2>lorries</e2> pulls into the Gashouder square."
148,"Entity-Destination(e1,e2)","Comment: metaphor, temporal destination (b.4.)",Story,This book has transported <e1>readers</e1> into <e2>ancient times</e2>.
149,Other,Comment: We cannot say the programmers actually/directly use the environment.,Technology,"We always try to maintain the best <e1>environment</e1> for <e2>programmers</e2>, starting with good salary and conducive working environment."
150,"Content-Container(e1,e2)",Comment: no movement,Story,"Indeed, a green or black basalt heart <e1>scarab</e1> was found put inside the <e2>body</e2> in its place."
151,"Entity-Origin(e1,e2)",Comment:,History,The first <e1>motorcycle</e1> was manufactured in a small wood <e2>building</e2> with only one room.
152,"Cause-Effect(e1,e2)",Comment:,Physic,"The <e1>water</e1> pushed to the coast resulted in <e2>tides</e2> as much as three feet above normal, with waves of 5-10 feet atop these tides."
153,"Message-Topic(e1,e2)",Comment:,Story,The <e1>chapters</e1> in this book investigate <e2>issues</e2> and communities.
154,"Entity-Destination(e1,e2)",Comment:,Story,He rescheduled the birthday <e1>party</e1> to the <e2>next day</e2>.
155,"Product-Producer(e2,e1)",Comment:,Biology,The <e1>bacterial aerosol</e1> was generated from an up-draft <e2>nebulizer</e2>.
156,"Entity-Destination(e1,e2)",Comment:,Story,"<e1>People</e1> have travelled into <e2>space</e2>, but not the deep ocean."
157,"Entity-Origin(e1,e2)",Comment:,History,"For those of you who are unsure what Afrikaans is, it is a language which originated from the Dutch which were the first settlers in South Africa and the unique <e1>language</e1> was evolved from other <e2>settlers</e2> from Malaya, Indonesia, Madagascar and West Africa."
158,"Product-Producer(e2,e1)",Comment: (a) is satisfied,Biology,"<e1>Beaver</e1> <e2>dams</e2> are created as a protection against predators, such as coyotes, wolves and bears, and to provide easy access to food during winter."
159,"Message-Topic(e1,e2)",Comment:,Story,"So, the theme of the <e1>play</e1> has to do with <e2>religion</e2>."
160,"Message-Topic(e1,e2)",Comment:,News,There has been intense <e1>debate</e1> over the circles' <e2>origins</e2>.
161,"Component-Whole(e2,e1)",Comment:,Biology,I have recently developed creases in my <e1>ear</e1> <e2>lobes</e2>.
162,"Entity-Origin(e2,e1)",Comment:,Chemistry,"Manufacturing extra neutral <e1>alcohol</e1> which is the basic ingredient used for making <e2>liquor</e2>, the commodity was largely used by companies making Indian Made Foreign Liquor (IMFL)."
163,"Instrument-Agency(e2,e1)",Comment:,Biology,Initially the <e1>user</e1> calibrates the microscope with a fluorescence lifetime <e2>standard</e2> positioned at the sample plane.
164,"Component-Whole(e2,e1)",Comment:,Politics,The <e1>province</e1> comprises the southeastern <e2>part</e2> of Panay Island with island-province of Guimaras just across its coast.
165,"Cause-Effect(e1,e2)",Comment:,Physic,"The <e1>charge</e1> is the source of an electric <e2>field</e2>, which carries energy-the electrostatic self-energy."
166,"Cause-Effect(e2,e1)",Comment:,Story,The <e1>tardiness</e1> however has been caused by the <e2>arrival</e2> of my old man; who in true Bloodworth fashion has had me walking everywhere.
167,"Content-Container(e1,e2)",Comment: prototypical example,Story,The <e1>key</e1> was in a <e2>chest</e2>.
168,"Entity-Origin(e1,e2)",Comment:,History,The <e1>residue</e1> was distilled from an Arbuzov <e2>flask</e2>.
169,"Member-Collection(e2,e1)",Comment:,Story,"As the Gondorians moved forward the evil force started to withdraw, unleashing a <e1>rain</e1> of deadly <e2>arrows</e2> into the heavily armoured Gondorians."
170,"Message-Topic(e1,e2)",Comment:,History,It is a medieval Latin <e1>manuscript</e1> relating the early <e2>history</e2> of the Isle of Man.
171,"Cause-Effect(e2,e1)",Comment:,News,The river had now turned into full <e1>flood</e1> after the <e2>deluge</e2> of rain a few days ago.
172,"Component-Whole(e2,e1)",Comment:,Story,"He stopped rowing when the boat was opposite to the paddle wheel of the steamer, and the <e1>steamer</e1> stopped her <e2>engine</e2> at the same time."
173,"Instrument-Agency(e2,e1)",Comment: There seems to be an anthropomorphic characterisation of the umbrella here.,Story,This is the <e1>umbrella</e1> that peels the potatoes with a <e2>pencil</e2> and makes a pink ink with the peelings stood up.
174,"Entity-Origin(e2,e1)",Comment:,Art,"This American-style <e1>wheat</e1> <e2>ale</e2> is a light, unfiltered brew with a citrus aroma andflavor imparted by a late addition of lemon grass."
175,"Entity-Origin(e1,e2)",Comment:,Story,The <e1>car</e1> left the <e2>plant</e2>.
176,"Component-Whole(e2,e1)",Comment:,Story,Our experience extends to 15 years continued promotion of this <e1>archipelago</e1> of nine <e2>islands</e2>.
